Isotope,5,7,9,12,15,20,25,30,40,50
1$H,1.33,2.33,3.33,4.69,4.90,6.25,8.11,0,0,0
3$He,3.0x10-5,6.4x10-4,2.9x10-4,1.9x10-3,5.1x10-3,1.1x10-3,1.7x10-3,0,0,0
4$He,2.01,2.92,2.32,4.83,6.15,9.14,10.3,0,0,0
12$C,7.9x10-2,1.3x10-1,2.5x10-1,2.6x10-1,1.9x10-1,6.0x10-1,5.6x10-1,0,0,0
13$C,1.1x10-3,1.7x10-3,1.5x10-3,4.2x10-3,1.2x10-2,2.0x10-2,7.0x10-3,0,0,0
14$C,3.6x10-6,7.8x10-5,4.4x10-4,4.0x10-3,5.0x10-4,2.5x10-3,3.1x10-3,0,0,0
14$N,1.6x10-2,1.8x10-2,1.1x10-2,3.6x10-3,9.0x10-3,1.1x10-2,8.1x10-3,0,0,0
15$N,4.1x10-5,6.2x10-4,7.0x10-4,1.8x10-4,2.1x10-3,1.1x10-4,3.9x10-4,0,0,0
16$O,1.1x10-1,2.4x10-1,1.50,7.1x10-1,2.15,1.52,1.10,0,0,0
17$O,1.9x10-5,1.7x10-5,2.9x10-5,1.1x10-5,7.6x10-4,5.5x10-5,3.3x10-5,0,0,0
18$O,3.0x10-5,2.6x10-5,4.6x10-3,8.3x10-6,4.2x10-6,3.9x10-7,4.7x10-7,0,0,0
18$F,0,0,0,1.1x10-8,7.8x10-6,3.0x10-9,3.2x10-8,0,0,0
19$F,1.3x10-6,1.3x10-6,5.2x10-5,1.2x10-7,3.4x10-6,1.8x10-6,1.1x10-6,0,0,0
20$Ne,5.9x10-5,1.1x10-3,3.0x10-2,1.6x10-1,1.4x10-1,2.2x10-1,2.0x10-2,0,0,0
21$Ne,7.4x10-7,4.7x10-6,3.0x10-4,8.3x10-7,2.5x10-4,3.0x10-5,1.4x10-5,0,0,0
22$Ne,1.9x10-4,1.9x10-4,2.1x10-2,2.3x10-5,2.2x10-4,3.4x10-3,6.5x10-4,0,0,0
23$Na,1.3x10-6,1.5x10-6,1.8x10-4,5.1x10-7,3.7x10-6,3.5x10-5,1.1x10-5,0,0,0
24$Mg,1.5x10-6,5.7x10-5,3.0x10-3,9.0x10-3,1.5x10-2,1.5x10-2,8.5x10-4,0,0,0
25$Mg,1.8x10-6,1.4x10-5,2.2x10-3,6.9x10-7,1.2x10-3,6.3x10-5,1.3x10-5,0,0,0
26$Mg,4.8x10-6,2.2x10-5,5.4x10-3,1.2x10-6,4.6x10-4,1.4x10-4,1.6x10-5,0,0,0
26$Al,0,0,0,0,0,7.9x10-10,0,0,0,0
27$Al,3.0x10-8,9.5x10-8,3.9x10-5,7.2x10-9,1.7x10-6,8.8x10-7,6.8x10-8,0,0,0
28$Si,0,0,0,1.8x10-4,7.9x10-4,3.7x10-4,1.1x10-5,0,0,0
29$Si,0,0,0,0,0,0,0,0,0,0
30$Si,0,0,0,0,0,0,0,0,0,0
31$P,0,0,0,0,0,0,0,0,0,0
32$S,0,0,0,1.8x10-7,2.4x10-5,7.0x10-7,1.6x10-8,0,0,0
33$S,0,0,0,0,0,0,0,0,0,0
34$S,0,0,0,0,0,0,0,0,0,0
36$S,0,0,0,0,0,0,0,0,0,0
35$Cl,0,0,0,0,0,0,0,0,0,0
37$Cl,0,0,0,0,0,0,0,0,0,0
36$Ar,0,0,0,0,7.1x10-8,0,0,0,0,0
38$Ar,0,0,0,0,0,0,0,0,0,0
39$K,0,0,0,0,0,0,0,0,0,0
40$K,0,0,0,0,0,0,0,0,0,0
41$K,0,0,0,0,0,0,0,0,0,0
40$Ca,0,0,0,0,0,0,0,0,0,0
42$Ca,0,0,0,0,0,0,0,0,0,0
43$Ca,0,0,0,0,0,0,0,0,0,0
44$Ca,0,0,0,0,0,0,0,0,0,0
45$Sc,0,0,0,0,0,0,0,0,0,0
46$Ti,0,0,0,0,0,0,0,0,0,0
47$Ti,0,0,0,0,0,0,0,0,0,0
48$Ti,0,0,0,0,0,0,0,0,0,0
49$Ti,0,0,0,0,0,0,0,0,0,0
51$V,0,0,0,0,0,0,0,0,0,0
50$Cr,0,0,0,0,0,0,0,0,0,0
52$Cr,0,0,0,0,0,0,0,0,0,0
53$Cr,0,0,0,0,0,0,0,0,0,0
54$Cr,0,0,0,0,0,0,0,0,0,0
55$Mn,0,0,0,0,0,0,0,0,0,0
54$Fe,0,0,0,0,0,0,0,0,0,0
56$Fe,0,0,0,0,0,0,0,0,0,0
57$Fe,0,0,0,0,0,0,0,0,0,0
58$Fe,0,0,0,0,0,0,0,0,0,0
59$Co,0,0,0,0,0,0,0,0,0,0
58$Ni,0,0,0,0,0,0,0,0,0,0
60$Ni,0,0,0,0,0,0,0,0,0,0
61$Ni,0,0,0,0,0,0,0,0,0,0
62$Ni,0,0,0,0,0,0,0,0,0,0
63$Cu,0,0,0,0,0,0,0,0,0,0
64$Zn,0,0,0,0,0,0,0,0,0,0
66$Zn,0,0,0,0,0,0,0,0,0,0
